太阳病|太阳之为病，脉浮，头项强痛而恶寒。|胡希恕：太阳病提纲，以此判断表证。|第1条|3
太阳病|发汗后，水药不得入口，为逆，若更发汗，必吐下不止。发汗吐下后，虚烦不得眠，若剧者，必反复颠倒，心中懊憹，栀子豉汤主之；若少气者，栀子甘草豉汤主之；若呕者，栀子生姜豉汤主之。（热扰胸膈）|胡希恕：此为无形之热留扰胸膈，导致心中郁闷懊憹。栀子豉汤清宣郁热，若兼少气或呕，则随证加味。|第76条|3
太阳病|发汗，若下之，而烦热，胸中窒者，栀子豉汤主之。（热扰胸膈）|胡希恕：此为误用汗、下后，余热留于胸中，气机被阻导致“胸中窒”。治疗重点在于清宣胸膈间的热郁。|第77条|3
太阳病|伤寒五六日，大下之后，身热不去，心中结痛者，未欲解也，栀子豉汤主之。（热扰胸膈）|胡希恕：大下后身热不退且心中结痛，并非实邪聚结，而是热气郁于心胸所致，故仍用栀子豉汤宣泄其热。|第78条|3
太阳病|伤寒下后，心烦腹满，卧起不安者，栀子厚朴汤主之。（热扰胸膈兼气滞腹满）|胡希恕：下后热留胸中则心烦，邪热下移干扰气机则腹满。栀子清热，厚朴行气化满。|第79条|3
太阳病|发汗后，不可更行桂枝汤。汗出而喘，无大热者，可与麻黄杏仁甘草石膏汤。（邪热壅肺）|胡希恕：此为汗后热邪内迫于肺。虽然汗出，但非桂枝汤之表虚汗，而是热迫津液外泄。石膏清肺热，麻黄宣肺定喘。|第63条|3
太阳病|服桂枝汤，大汗出后，大烦渴不解，脉洪大者，白虎加人参汤主之。（太阳病传阳明，热盛气津两伤）|胡希恕：此为太阳转属阳明，出现“三多”症状：汗多、渴多、脉洪大。说明里热炽盛且气阴两伤，须清热生津。|第26条|3
太阳病|太阳病，桂枝证，医反下之，利遂不止。脉促者，表未解也，喘而汗出者，葛根黄芩黄连汤主之。（热协表邪下利）|胡希恕：此为表邪未解而里热已盛，热邪下迫肠道故利遂不止，上逆于肺则喘，宜用本方解表清里热。|第34条|3
太阳病|发汗过多，其人叉手自冒心，心下悸，欲得按者，桂枝甘草汤主之。（伤心阳致心悸）|胡希恕：过汗损伤心阳，使心气虚损，故出现心悸且喜按。桂枝辛温助阳，甘草甘温益气，二药辛甘化阳。|第64条|3
太阳病|伤寒脉浮，医者以火迫劫之，亡阳，必惊狂，卧起不安者，桂枝去芍药加蜀漆牡蛎龙骨救逆汤主之。（心阳虚惊狂）|胡希恕：火劫发汗重伤心阳，神不守舍故发惊狂。方中用龙骨、牡蛎潜镇敛神，蜀漆去痰水，重在救治心阳。|第112条|3
太阳病|发汗后，其人脐下悸者，欲作奔豚，茯苓桂枝甘草大枣汤主之。（心阳虚欲作奔豚）|胡希恕：汗后心阳虚，下焦水饮乘虚上冲，脐下悸动是奔豚欲发的征象。茯苓利水平冲，桂枝助阳化气。|第65条|3
太阳病|伤寒，若吐、若下后，心下逆满，气上冲胸，起则头眩，脉沉紧，发汗则动经，身为振振摇者，茯苓桂枝白术甘草汤主之。（脾虚水停）|胡希恕：此为中焦脾虚，水饮停聚，气机上冲。治当温化水饮，健脾利水。|第67条|3
太阳病|发汗后，腹胀满者。厚朴生姜半夏甘草人参汤主之。（脾虚气滞）|胡希恕：汗后脾胃受损，运化失司产生气滞。此证虚实夹杂，以厚朴行气为主，辅以人参补虚。|第66条|3
太阳病|伤寒二三日，心中悸而烦者，小建中汤主之。（里虚伤寒）|胡希恕：病虽二三日，但出现心悸而烦，说明其人本虚。小建中汤重用饴糖，旨在建立中气，缓解虚劳。|第102条|3
太阳病|太阳病，外证未除，而数下之，遂协热而利，利下不止，心下痞硬，表里不解者，桂枝人参汤主之。（脾虚下利而表邪未解）|胡希恕：虽然名“协热”，实为胃气虚寒之下利，同时兼有表证。方用理中汤治里虚寒，加桂枝解表。|第163条|3
太阳病|太阳病发汗，汗出不解，其人仍发热，心下悸，头眩，身瞤动，振振欲擗地者，真武汤主之。（阳虚水泛）|胡希恕：汗后损伤肾阳，水气失去温化随风而动，导致肢体颤动不稳，须用真武汤温阳化气行水。|第82条|3
太阳病|伤寒，脉结代，心动悸，炙甘草汤主之。（心阴阳两虚）|胡希恕：此为阴阳气血俱虚，脉气不续。炙甘草汤滋阴养血、益气通阳，是复脉的重剂。|第177条|3
太阳病|伤寒六七日，结胸热实，脉沉而紧，心下痛，按之石硬者，大陷胸汤主之。|胡希恕：此为水热邪气互结于胸腹，病位宽广且邪实严重，非大陷胸汤猛攻不可。|第135条|3
太阳病|太阳病，重发汗而复下之，不大便五六日，舌上燥而渴，日哺所小有潮热。从心下至少腹便满而痛不可近者，大陷胸汤主之。|胡希恕：汗下导致津液大伤且热邪深陷，出现类似阳明实热的潮热渴燥，但腹痛拒按严重，属大结胸证。|第137条|3
太阳病|小结胸病，正在心下，按之则痛，脉浮滑者，小陷胸汤主之。|胡希恕：结胸病位局限在心下，脉浮滑说明痰热互结。治当清热化痰、开结散痞。|第138条|3
太阳病|、心下痞，按之濡，其脉关上浮者，大黄黄连泻心汤主之。|胡希恕：此为热痞，心下痞塞但按之柔软，脉关上浮说明热郁于上。用苦寒之药泄其热，热去则痞自消。|第154条|3
太阳病|伤寒五六日，呕而发热者，柴胡汤证具。而以他药下之，柴胡证仍在者，复与柴胡汤。此虽已下之，不为逆，必蒸蒸而振，却发热汗出而解。若心下满而硬痛者，此为结胸也，大陷胸汤主之；但满而不痛者，此为痞，柴胡不中与之，宜半夏泻心汤。（柴胡证误下）|胡希恕：误下后若未成结胸而仅见心下痞满，属寒热错杂。半夏泻心汤苦降辛开，是调理气机、消除痞满的主方。|第149条|3
太阳病|伤寒汗出，解之后，胃中不和，心下痞硬，干噫食臭，胁下有水气，腹中雷鸣，下利者，生姜泻心汤主之。（胃虚不化水气）|胡希恕：此为脾胃虚弱，水谷不化且水饮停聚。生姜重在温散水气、和胃止呕。|第157条|3
太阳病|伤寒中风，医反下之，其人下利日数十行，谷不化，腹中雷鸣，心下痞硬而满，干呕，心烦不得安。医见心下痞，谓病不尽，复下之，其痞益甚。此非结热，但以胃中虚，客气上逆，故使硬也。甘草泻心汤主之。（脾胃气虚痞利俱甚）|胡希恕：由于反复误下，中气大虚，虚证较半夏泻心汤更重。加重甘草以补中益气、缓急消痞。|第158条|3
太阳病|伤寒发汗，若吐，若下，解后，心下痞硬，噫气不除者，旋覆代赭汤主之。|胡希恕：汗吐下后中气受伤，痰涎内阻，导致胃气上逆而噫气。旋覆花化痰下气，代赭石重镇降逆。|第161条|3
太阳病|伤寒，胸中有热，胃中有邪气，腹中痛，欲呕吐者，黄连汤主之。（上热下寒腹痛欲呕）|胡希恕：此为上下不通、寒热格拒。黄连清上热，干姜温下寒，配伍桂枝通阴阳，解决腹痛欲呕。|第173条|3
太阳病|凡病，若发汗，若吐，若下，若亡血、亡津液，阴阳自和者，必自愈。|胡希恕：此论人体自愈力。无论经过何种治法，只要正气未竭，人体阴阳能够自行调和，疾病终能自愈。|第58条|3
太阳病|阳明之为病，胃家实是也。|胡希恕：此为阳明病提纲。其病理特征是“实”，表现为里热实证，包括燥屎内结或热盛气分。|第180条|3
太阳病|本太阳，初得病时，发其汗，汗先出不彻，因转属阳明也。伤寒发热无汗，呕不能食，而反汗出濈濈然者，是转属阳明也。|胡希恕：此论太阳转属阳明之机。因汗出不彻底，表邪化热入里；原本无汗寒热，现转为连连汗出（濈濈然），说明病位已由表入里，属阳明外证。|第185条|3
太阳病|问曰：阳明病外证云何？答曰：身热，汗自出，不恶寒反恶热也。|胡希恕：阳明病提纲，以此判断里实热证。特征是热势在里，故不恶寒而反恶热，且因内热蒸腾而汗自出。|第182条|3
太阳病|三阳合病，腹满身重，难于转侧，口不仁面垢，谵语遗尿。发汗则谵语，下之则额上生汗，手足逆冷。若自汗出者，白虎汤主之。|胡希恕：此为三阳合病而以阳明热盛为主。面垢、谵语均为里热极盛之象，严禁误汗误下，宜用白虎汤清热生津。|第219条|3
太阳病|伤寒，若吐、若下后，七八日不解，热结在里，表里俱热，时时恶风，大渴，舌上干燥而烦，欲饮水数升者，白虎加人参汤主之。|胡希恕：此为误治后热邪入里，内外皆热。虽时时恶风，但其核心在于大渴引饮、舌燥心烦，属里热伤津，故用白虎加人参汤。|第168条|3
太阳病|若渴欲饮水，口干舌燥者，白虎加人参汤主之。|胡希恕：阳明病见渴欲饮水、口舌干燥，是典型的里热耗伤津液，必须用人参益气生津，配合白虎清其大热。|第222条|3
太阳病|若脉浮，发热，渴欲饮水，小便不利者，猪苓汤主之。|胡希恕：此为阳明病阴虚有热且水气不利。虽发热脉浮，但重点在小便不利与渴。猪苓汤重在滋阴润燥、利水清热。|第223条|3
太阳病|阳明病，不吐不下，心烦者，可与调胃承气汤。|胡希恕：此为里热初结，虽未见明显腹痛便秘，但热扰心神而心烦，用调胃承气汤缓下其热，重在调和胃气、清泄郁热。|第207条|3
太阳病|太阳病三日，发汗不解，蒸蒸发热者，属胃也。调胃承气汤主之。|胡希恕：蒸蒸发热是由内向外透热，说明表邪已完全入里属胃。由于邪热初结，用调胃承气汤轻下其热。|第248条|3
太阳病|伤寒吐后，腹胀满者，与调胃承气汤。|胡希恕：吐后损伤津液，胃气不和导致腹胀满。此时非实大便结，而是热邪壅滞，宜用调胃承气汤泻热消胀。|第249条|3
太阳病|阳明病，其人多汗，以津液外出，胃中燥，大便必硬，硬则谵语，小承气汤主之。若一服谵语止者，更莫复服。|胡希恕：多汗导致胃中干涩，大便因干燥而结硬。小承气汤重在行气破结，若谵语止说明燥屎已动，不可过服以免伤正。|第213条|3
太阳病|跌阳脉浮而涩，浮则胃气强，涩则小便数。浮涩相搏，大便则硬，其脾为约。麻子仁丸主之。|胡希恕：此为“脾约”证。因胃强脾弱，脾不能为胃行其津液，导致津液下流膀胱而小便数，肠道失润而大便硬，宜用麻子仁丸润肠通便。|第247条|3
太阳病|食谷欲呕，属阳明也，吴茱萸汤主之。得汤反剧者，属上焦也。|胡希恕：此属阳明虚寒证，胃中虚冷导致食后欲呕。若服药反而加剧，说明病在心胸上焦之热，非此方所宜。|第243条|3
太阳病|阳明病，发热汗出者，此为热越，不能发黄也；但头汗出，身无汗，剂颈而还，小便不利，渴引水浆者，此为瘀热在里，身必发黄，茵陈蒿汤主之。|胡希恕：发黄的主因是湿热内瘀。若通身汗出则热有出路；若仅头汗且小便不利，湿热交蒸无法宣泄，故发黄，须用茵陈蒿汤通利二便。|第236条|3
太阳病|伤寒七八日，身黄如橘子色，小便不利，腹微满者，茵陈蒿汤主之。|胡希恕：身黄鲜明如橘子色是湿热实证。小便不利说明湿邪无出路，腹满说明里实，故以此方清热利湿。|第260条|3
太阳病|阳明病无汗，小便不利，心中懊憹者，身必发黄。|胡希恕：无汗则湿热不能外达，小便不利则湿热不能下泄，瘀结于内则心烦懊憹，这是黄疸发生的典型前兆。|第199条|3
太阳病|夫实则谵语，虚则郑声。郑声者，重语也。直视谵语，喘满者死，下利者亦死。|胡希恕：辨别虚实神志。实热熏蒸则乱言（谵语），正气衰竭则言语重复（郑声）。若见直视、喘满或下利，均为元气欲脱之危候。|第210条|3
辨少阳病脉证并治|少阳之为病，口苦，咽干，目眩也。|胡希恕：少阳病提纲。少阳主火，火气上炎则口苦咽干；火动于上则目眩。出现此三症即说明病在半表半里。|第263条|3
辨少阳病脉证并治|伤寒五六日，中风，往来寒热，胸胁苦满，嘿嘿不欲饮食，心烦喜呕，或胸中烦而不呕，或渴，或腹中痛，或胁下痞硬，或心下悸、小便不利，或不渴、身有微热，或咳者，小柴胡汤主之。|胡希恕：少阳病主方。往来寒热是邪正相争于半表半里；胸胁苦满是由于气机郁滞。此方能和解少阳，使郁热宣散。|第96条|3
辨少阳病脉证并治|伤寒中风，有柴胡证，但见一证便是，不必悉具。凡柴胡汤病证而下之，若柴胡证不罢者，复与柴胡汤，必蒸蒸而振，却复发热汗出而解。|胡希恕：此论柴胡证的灵活性。只要抓住核心病机，即便症状不全也可应用。误下后若主证仍在，仍需和解，服药后的战汗是邪解之象。|第101条|3
辨少阳病脉证并治|伤寒，阳脉涩，阴脉弦，法当腹中急痛，先与小建中汤，不差者，小柴胡汤主之。（兼里虚寒）|胡希恕：此为虚实错杂。腹痛脉弦说明既有少阳气郁，又有里虚寒。遵循“急当救里”原则，先建中补虚，后和解少阳。|第100条|3
辨少阳病脉证并治|阳明病，发潮热，大便溏，小便自可，胸胁满不去者，与小柴胡汤。|胡希恕：虽然有阳明潮热，但大便反溏且胸胁满。说明病机重点仍在少阳，而非阳明实积，故投柴胡汤和解。|第229条|3
辨少阳病脉证并治|阳明病，胁下硬满，不大便而呕，舌上白胎者，可与小柴胡汤。上焦得通，津液得下，胃气因和，身濈然汗出而解。（阳明病柴胡证未罢）|胡希恕：此为少阳阳明并病，但呕与胁满突出，说明气机阻滞在上。通过柴胡汤疏利三焦，使气机通畅，胃气自和，大便与表证随汗而解。|第230条|3
辨少阳病脉证并治|伤寒六七日，发热，微恶寒，支节烦疼，微呕，心下支结，外证未去者，柴胡桂枝汤主之。（兼太阳表证）|胡希恕：此为太阳少阳合病。既有发热恶寒、肢节烦疼之太阳表证，又有微呕、心下支结之少阳里证，故合用两方，小其剂而和解兼表。|第146条|3
辨少阳病脉证并治|太阳病，过经十余日，反二三下之，后四五日，柴胡证仍在者，先与小柴胡汤；呕不止，心下急，郁郁微烦者，为未解也，与大柴胡汤下之则愈。（兼阳明里实证）|胡希恕：少阳证经误下后若主证仍在，仍用小柴胡；若出现“心下急”、呕不止，说明邪气兼入阳明而有里实之势，须用大柴胡汤两解少阳阳明。|第103条|3
辨少阳病脉证并治|伤寒发热，汗出不解，心中痞硬，呕吐而下利者，大柴胡汤主之。（兼阳明里实证）|胡希恕：此为少阳阳明并病。汗出不解且见痞硬、下利，说明里实已成，大柴胡汤通过下逐里实、和解少阳，使表里之热随之下泄。|第165条|3
辨少阳病脉证并治|伤寒五六日，已发汗而复下之，胸胁满微结，小便不利，渴而不呕，但头汗出，往来寒热，心烦者，此为未解也，柴胡桂枝干姜汤主之。（兼水饮内结）|胡希恕：此为半表半里之阴证（少阳太阴合病）。汗下后损伤津液阳气，水饮内结，故见渴而不呕、头汗出。方用柴胡和解，干姜桂枝温化水饮。|第147条|3
辨少阳病脉证并治|伤寒八九日，下之，胸满烦惊，小便不利，谵语，一身尽重，不可转侧者，柴胡加龙骨牡蛎汤主之。（少阳邪气弥漫，烦惊谵语）|胡希恕：此为邪热弥漫三焦，内扰心神。下后虚烦而惊、谵语，说明阳气浮越，用龙骨牡蛎潜镇，大黄泄热，柴胡和解。|第107条|3
一、太阴病辨证纲要：|太阴之为病，腹满而吐，食不下，自利益甚，时腹自痛。若下之，必胸下结硬。|胡希恕：太阴病提纲。其病机为中焦虚寒，因寒湿内阻故腹满、自利；里虚禁下，若误下则重伤中气，导致寒邪结于心下。|第273条|3
一、太阴病辨证纲要：|自利不渴者，属太阴，以其藏有寒故也。当温之，宜服四逆辈。|胡希恕：辨太阴病要点。自利而口不渴，说明津液未伤而里有寒湿，病在太阴而非阳明，治疗当温中散寒，四逆辈即指理中、四逆一类。|第277条|3
一、太阴病辨证纲要：|本太阳病，医反下之，因尔腹满时痛者，属太阴也，桂枝加芍药汤主之，大实痛者，桂枝加大黄汤主之。（太阳病误下邪陷太阴）|胡希恕：此为表邪误下内陷太阴。腹满时痛主虚，加倍芍药以缓急止痛；若腹满大痛拒按属实，则加少量大黄以通其滞。|第279条|3
辨少阴病脉证并治|少阴之为病，脉微细，但欲寐也。|胡希恕：少阴病提纲。脉微细说明心肾阳气衰微，血行无力；“但欲寐”是精神衰疲的状态，以此反映全身性机能沉衰的本质。|第281条|3
辨少阴病脉证并治|少阴病，脉沉者，急温之，宜四逆场。（阴盛阳衰）|胡希恕：少阴病见脉沉，说明寒邪深在且阳气欲脱，必须急用四逆汤回阳救逆，防止病情恶化。|第323条|3
辨少阴病脉证并治|少阴病，下利清谷，里寒外热，手足厥逆，脉微欲绝，身反不恶寒，其人面色赤。或腹痛，或干呕，或咽痛，或利止脉不出者。通脉四逆汤主之。（阴盛格阳）|胡希恕：此为阴盛格阳之戴阳证。里寒极盛而见假热（面红、不恶寒），须重用干姜附子以通达内外阳气，破阴回阳。|第317条|3
辨少阴病脉证并治|少阴病，二三日不已，至四五日，腹痛，小便不利，四肢沉重疼痛，自下利者，此为有水气。其人或咳，或小便利，或下利，或呕者，真武汤主之。（阳虚水泛）|胡希恕：由于少阴阳虚，不能制水，水饮随气机泛散。方中附子温肾阳，苓术利水，生姜散饮，白芍和营止痛。|第316条|3
辨少阴病脉证并治|少阴病，得之一二日，口中和，其背恶寒者，当灸之，附子汤主之。（阳虚寒湿身痛）|胡希恕：口中和说明无内热，背恶寒是阳虚寒湿郁于表。附子汤重在温补元阳、祛除寒湿。|第304条|3
辨少阴病脉证并治|少阴病，身体痛，手足寒，骨节痛，脉沉者，附子汤主之。（阳虚寒湿身痛）|胡希恕：此为少阴寒湿身痛证。脉沉、手足寒反映里虚阳衰，寒湿凝滞筋骨，故用附子汤温阳定痛。|第305条|3
辨少阴病脉证并治|少阴病，吐利，手足逆冷，烦躁欲死者，吴茱萸汤主之。（阳虚阴盛，浊阴犯胃）|胡希恕：此为阴寒内盛，浊气上逆。吐利且烦躁说明阴盛格阳，吴茱萸汤温中降逆，引火归元。|第309条|3
辨少阴病脉证并治|少阴病，下利，便脓血者，桃花汤主之。（虚寒下利便脓血，滑脱不禁）|胡希恕：此属少阴虚寒下利，肠络不固。桃花汤温补中焦且收敛止涩，用于久利不止、滑脱之证。|第306条|3
辨少阴病脉证并治|少阴病，二三日至四五日，腹痛，小便不利，下利不止，便脓血者，桃花汤主之。（虚寒下利便脓血，滑脱不禁）|胡希恕：病势迁延，阴寒更重，出现小便不利说明水湿不运。仍以温涩固脱为主治。|第307条|3
辨少阴病脉证并治|少阴病，得之二三日以上，心中烦，不得卧，黄连阿胶汤主之。（阴虚火旺）|胡希恕：此为少阴热化证。阴虚不能敛阳，心火上炎导致心烦不眠。方用黄连清火，阿胶、鸡子黄滋阴填精。|第303条|3
辨少阴病脉证并治|少阴病，下利六七日，咳而呕渴，心烦不得眠者，猪苓汤主之。（阴虚有热，水热互结）|胡希恕：此为少阴阴虚兼水气。水热互结于内，故下利且渴、心烦。猪苓汤旨在育阴利水，使水行热去。|第319条|3
辨少阴病脉证并治|少阴病，四逆，其人或咳，或悸，或小便不利，或腹中痛，或泄利下重者，四逆散主之。（阳郁致厥）|胡希恕：此非虚寒厥冷，而是由于气机郁滞，阳气不能敷布于四肢。四逆散疏理肝气，使阳气宣达。|第318条|3
辨少阴病脉证并治|少阴病，始得之，反发热脉沉者，麻黄细辛附子汤主之。（阳虚兼表）|胡希恕：少阴本无热，发热说明表邪客入；脉沉说明本有阳虚。此方温经发汗，旨在固助阳气以驱表邪。|第301条|3
辨少阴病脉证并治|少阴病，得之二三日，麻黄附子甘草汤微发汗。以二三日无证，故微发汗也。|胡希恕：此与上条同属阳虚感寒。病至二三日若里虚不重，仅余表邪，则用本方微发其汗，去细辛之烈而加甘草之缓。|第302条|3
辨少阴病脉证并治|少阴病二三日，咽痛者，可与甘草汤；不差者，与桔梗汤。|胡希恕：少阴脉循喉咙，邪客则痛。初期轻症用甘草清热解毒，若不愈则加桔梗宣肺开郁、排脓消肿。|第311条|3
一、厥阴病辨证纲要：|厥阴之为病，消渴，气上撞心，心中疼热，饥而不欲食，食则吐蚘。下之，利不止。|胡希恕：厥阴病提纲。本证为寒热错杂、上热下寒，热邪上炎则消渴、疼热，下焦有寒且中气虚则下利不止。|第326条|3
一、厥阴病辨证纲要：|伤寒，脉微而厥，至七八日肤冷，其人躁无暂安时者，此为藏厥，非蚘厥也。蚘厥者，其人当吐蚘。今病者静，而复时烦者，此为藏寒。蚘上入其膈，故烦，须臾复止，得食而呕又烦者，蚘闻食臭出。其人常自吐蚘。蚘厥者，乌梅丸主之。又主久利。（脏厥与蛔厥）|胡希恕：辨别脏厥与蛔厥。脏厥因脏气虚竭，躁无宁时；蛔厥则虚寒与虫扰并见，时烦时止。乌梅丸辛苦酸联用，旨在温脏安蛔。|第338条|3
一、厥阴病辨证纲要：|手足厥寒，脉细欲绝者，当归四逆汤主之。（血虚寒凝致厥逆）|胡希恕：此为血虚受寒，血行不畅导致肢冷脉细。当归四逆汤在桂枝汤基础上加当归、细辛等，旨在养血通脉、散寒通厥。|第351条|3
一、厥阴病辨证纲要：|干呕，吐涎沫，头痛者，吴茱萸汤主之。（肝寒犯胃，浊阴上逆）|胡希恕：此属厥阴肝寒上逆。肝经循巅顶，寒邪上扰则头痛；寒饮犯胃则干呕吐涎。吴茱萸汤暖肝温胃、降逆止呕。|第378条|3
一、厥阴病辨证纲要：|热利，下重者，白头翁汤主之。|胡希恕：此为大肠湿热深陷的痢疾。热邪灼伤肠络则下利脓血，气机不畅则后重。白头翁汤苦寒清热、凉血止痢。|第371条|3
一、厥阴病辨证纲要：|下利，欲饮水者，以有热故也，白头翁汤主之。|胡希恕：下利而口渴欲饮，说明里热炽盛耗伤津液，并非虚寒利，故当用白头翁汤清泄里热。|第373条|3
一、厥阴病辨证纲要：|凡厥者，阴阳气不相顺接，便为厥。厥者，手足逆冷者是也。|胡希恕：定义“厥”的病机。指阳气不能外达与阴气衔接，导致四肢末端冷。辨证需分清是寒厥还是热厥郁闭。|第337条|3
一、厥阴病辨证纲要：|伤寒，脉滑而厥者，里有热，白虎汤主之。（热厥重证）|胡希恕：此为热厥。里热内郁太甚，阳气不得外达，脉滑有力说明里实。必须清其内热，热退则厥自止。|第350条|3
一、厥阴病辨证纲要：|伤寒厥而心下悸，宜先治水，当服茯苓甘草汤，却治其厥。不尔，水渍入胃，必作利也。（水厥）|胡希恕：此为水饮内停导致的“水厥”。水气阻碍阳气布达，故先利水。若不治水，水邪下走肠间必发下利。|第356条|3
